Character,Sentence,Word,POS,Tag,Dependency
MRS. WEASLEY,your father and i are so proud .,"['your', 'father', 'and', 'i', 'are', 'so', 'proud', '.']","['PRON', 'NOUN', 'CCONJ', 'PRON', 'AUX', 'ADV', 'ADJ', 'PUNCT']","['PRP$', 'NN', 'CC', 'PRP', 'VBP', 'RB', 'JJ', '.']","['poss', 'nsubj', 'cc', 'conj', 'ROOT', 'advmod', 'acomp', 'punct']"
GILDEROY LOCKHART,let me introduce you to your new defense against the dark arts teacher .,"['let', 'me', 'introduce', 'you', 'to', 'your', 'new', 'defense', 'against', 'the', 'dark', 'arts', 'teacher', '.']","['VERB', 'PRON', 'VERB', 'PRON', 'ADP', 'PRON', 'ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']","['VB', 'PRP', 'VB', 'PRP', 'IN', 'PRP$', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NN', '.']","['ROOT', 'nsubj', 'ccomp', 'dobj', 'prep', 'poss', 'amod', 'pobj', 'prep', 'det', 'compound', 'compound', 'pobj', 'punct']"
GILDEROY LOCKHART,"me . gilderoy lockhart , order of merlin , third class , honorary member of the dark force defense league and five times winner of witch weekly 's most-charming-smile award","['me', '.', 'gilderoy', 'lockhart', ',', 'order', 'of', 'merlin', ',', 'third', 'class', ',', 'honorary', 'member', 'of', 'the', 'dark', 'force', 'defense', 'league', 'and', 'five', 'times', 'winner', 'of', 'witch', 'weekly', ""'s"", 'most', '-', 'charming', '-', 'smile', 'award']","['PRON', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PROPN', 'NOUN', 'CCONJ', 'NUM', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PART', 'ADV', 'PUNCT', 'ADJ', 'PUNCT', 'NOUN', 'NOUN']","['PRP', '.', 'NNP', 'NNP', ',', 'NN', 'IN', 'NN', ',', 'JJ', 'NN', ',', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'NN', 'CC', 'CD', 'NNS', 'NN', 'IN', 'NN', 'NN', 'POS', 'RBS', 'HYPH', 'JJ', 'HYPH', 'NN', 'NN']","['ROOT', 'punct', 'ROOT', 'dobj', 'punct', 'appos', 'prep', 'pobj', 'punct', 'amod', 'conj', 'punct', 'amod', 'conj', 'prep', 'det', 'amod', 'compound', 'compound', 'pobj', 'cc', 'nummod', 'compound', 'conj', 'prep', 'compound', 'poss', 'case', 'amod', 'punct', 'amod', 'punct', 'compound', 'pobj']"
GILDEROY LOCKHART,but i do n't talk about that .,"['but', 'i', 'do', ""n't"", 'talk', 'about', 'that', '.']","['CCONJ', 'PRON', 'AUX', 'PART', 'VERB', 'ADP', 'PRON', 'PUNCT']","['CC', 'PRP', 'VBP', 'RB', 'VB', 'IN', 'DT', '.']","['cc', 'nsubj', 'aux', 'neg', 'ROOT', 'prep', 'pobj', 'punct']"
GILDEROY LOCKHART,i did n't get rid of the bandon banshee by smiling at her !,"['i', 'did', ""n't"", 'get', 'rid', 'of', 'the', 'bandon', 'banshee', 'by', 'smiling', 'at', 'her', '!']","['PRON', 'AUX', 'PART', 'VERB', 'VERB', 'ADP', 'DET', 'PROPN', 'NOUN', 'ADP', 'VERB', 'ADP', 'PRON', 'PUNCT']","['PRP', 'VBD', 'RB', 'VB', 'VBN', 'IN', 'DT', 'NNP', 'NN', 'IN', 'VBG', 'IN', 'PRP', '.']","['nsubj', 'aux', 'neg', 'ROOT', 'xcomp', 'prep', 'det', 'compound', 'pobj', 'prep', 'pcomp', 'prep', 'pobj', 'punct']"
GILDEROY LOCKHART,"now , be warned .","['now', ',', 'be', 'warned', '.']","['ADV', 'PUNCT', 'AUX', 'VERB', 'PUNCT']","['RB', ',', 'VB', 'VBN', '.']","['advmod', 'punct', 'auxpass', 'ROOT', 'punct']"
GILDEROY LOCKHART,it is my job to arm you against the foulest creatures known to wizardkind .,"['it', 'is', 'my', 'job', 'to', 'arm', 'you', 'against', 'the', 'foulest', 'creatures', 'known', 'to', 'wizardkind', '.']","['PRON', 'AUX', 'PRON', 'NOUN', 'PART', 'VERB', 'PRON', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'PART', 'VERB', 'PUNCT']","['PRP', 'VBZ', 'PRP$', 'NN', 'TO', 'VB', 'PRP', 'IN', 'DT', 'JJS', 'NNS', 'VBN', 'TO', 'VB', '.']","['nsubj', 'ROOT', 'poss', 'attr', 'aux', 'advcl', 'dobj', 'prep', 'det', 'amod', 'pobj', 'acl', 'aux', 'xcomp', 'punct']"
GILDEROY LOCKHART,you may find yourselves facing your worst fears in this room .,"['you', 'may', 'find', 'yourselves', 'facing', 'your', 'worst', 'fears', 'in', 'this', 'room', '.']","['PRON', 'AUX', 'VERB', 'NOUN', 'VERB', 'PRON', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['PRP', 'MD', 'VB', 'NNS', 'VBG', 'PRP$', 'JJS', 'NNS', 'IN', 'DT', 'NN', '.']","['nsubj', 'aux', 'ROOT', 'nsubj', 'ccomp', 'poss', 'amod', 'dobj', 'prep', 'det', 'pobj', 'punct']"
GILDEROY LOCKHART,know only that no harm can befall you whilst i am here .,"['know', 'only', 'that', 'no', 'harm', 'can', 'befall', 'you', 'whilst', 'i', 'am', 'here', '.']","['VERB', 'ADV', 'SCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'PRON', 'SCONJ', 'PRON', 'AUX', 'ADV', 'PUNCT']","['VBP', 'RB', 'IN', 'DT', 'NN', 'MD', 'VB', 'PRP', 'IN', 'PRP', 'VBP', 'RB', '.']","['ROOT', 'advmod', 'mark', 'det', 'nsubj', 'aux', 'ccomp', 'dobj', 'mark', 'nsubj', 'advcl', 'advmod', 'punct']"
GILDEROY LOCKHART,i must ask you not to scream .,"['i', 'must', 'ask', 'you', 'not', 'to', 'scream', '.']","['PRON', 'AUX', 'VERB', 'PRON', 'PART', 'PART', 'VERB', 'PUNCT']","['PRP', 'MD', 'VB', 'PRP', 'RB', 'TO', 'VB', '.']","['nsubj', 'aux', 'ROOT', 'dobj', 'neg', 'aux', 'xcomp', 'punct']"
GILDEROY LOCKHART,it might provoke them .,"['it', 'might', 'provoke', 'them', '.']","['PRON', 'AUX', 'VERB', 'PRON', 'PUNCT']","['PRP', 'MD', 'VB', 'PRP', '.']","['nsubj', 'aux', 'ROOT', 'dobj', 'punct']"
SEAMUS,cornish pixies ?,"['cornish', 'pixies', '?']","['ADJ', 'NOUN', 'PUNCT']","['JJ', 'NNS', '.']","['amod', 'ROOT', 'punct']"
GILDEROY LOCKHART,freshly caught cornish pixies .,"['freshly', 'caught', 'cornish', 'pixies', '.']","['ADV', 'VERB', 'ADJ', 'NOUN', 'PUNCT']","['RB', 'VBD', 'JJ', 'NNS', '.']","['advmod', 'ROOT', 'amod', 'dobj', 'punct']"
GILDEROY LOCKHART,"laugh if you will , mr. finnegan but pixies can be devilishly tricky little blighters .","['laugh', 'if', 'you', 'will', ',', 'mr', '.', 'finnegan', 'but', 'pixies', 'can', 'be', 'devilishly', 'tricky', 'little', 'blighters', '.']","['VERB', 'SCONJ', 'PRON', 'AUX', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'CCONJ', 'NOUN', 'AUX', 'AUX', 'ADV', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']","['VB', 'IN', 'PRP', 'MD', ',', 'NNP', 'NNP', 'NNP', 'CC', 'NNS', 'MD', 'VB', 'RB', 'JJ', 'JJ', 'NNS', '.']","['ROOT', 'mark', 'nsubj', 'advcl', 'punct', 'compound', 'compound', 'nsubj', 'cc', 'conj', 'aux', 'ccomp', 'advmod', 'amod', 'amod', 'attr', 'punct']"
GILDEROY LOCKHART,let 's see what you make of them .,"['let', ""'s"", 'see', 'what', 'you', 'make', 'of', 'them', '.']","['VERB', 'PRON', 'VERB', 'PRON', 'PRON', 'VERB', 'ADP', 'PRON', 'PUNCT']","['VB', 'PRP', 'VB', 'WP', 'PRP', 'VBP', 'IN', 'PRP', '.']","['ROOT', 'nsubj', 'ccomp', 'dobj', 'nsubj', 'ccomp', 'prep', 'pobj', 'punct']"
GILDEROY LOCKHART,"come on now , round them up , round them up !","['come', 'on', 'now', ',', 'round', 'them', 'up', ',', 'round', 'them', 'up', '!']","['VERB', 'ADP', 'ADV', 'PUNCT', 'VERB', 'PRON', 'ADP', 'PUNCT', 'VERB', 'PRON', 'ADP', 'PUNCT']","['VB', 'RP', 'RB', ',', 'VB', 'PRP', 'RP', ',', 'VB', 'PRP', 'RP', '.']","['ROOT', 'prt', 'advmod', 'punct', 'conj', 'dobj', 'prt', 'punct', 'conj', 'dobj', 'prt', 'punct']"
GILDEROY LOCKHART,they 're only pixies .,"['they', ""'re"", 'only', 'pixies', '.']","['PRON', 'AUX', 'ADV', 'NOUN', 'PUNCT']","['PRP', 'VBP', 'RB', 'NNS', '.']","['nsubj', 'ROOT', 'advmod', 'attr', 'punct']"
CORNISH PIXIES,you just stay there !,"['you', 'just', 'stay', 'there', '!']","['PRON', 'ADV', 'VERB', 'ADV', 'PUNCT']","['PRP', 'RB', 'VB', 'RB', '.']","['nsubj', 'advmod', 'ROOT', 'advmod', 'punct']"
NEVILLE,"please , get me down !","['please', ',', 'get', 'me', 'down', '!']","['INTJ', 'PUNCT', 'VERB', 'PRON', 'ADP', 'PUNCT']","['UH', ',', 'VB', 'PRP', 'RP', '.']","['intj', 'punct', 'ROOT', 'dobj', 'prt', 'punct']"
HERMIONE,get off me !,"['get', 'off', 'me', '!']","['VERB', 'ADP', 'PRON', 'PUNCT']","['VB', 'IN', 'PRP', '.']","['ROOT', 'prep', 'pobj', 'punct']"
HARRY,stop . hold still !,"['stop', '.', 'hold', 'still', '!']","['VERB', 'PUNCT', 'VERB', 'ADV', 'PUNCT']","['VB', '.', 'VB', 'RB', '.']","['ROOT', 'punct', 'ROOT', 'advmod', 'punct']"
GILDEROY LOCKHART,peskipiksi pesternomi !,"['peskipiksi', 'pesternomi', '!']","['VERB', 'NOUN', 'PUNCT']","['VB', 'NN', '.']","['ROOT', 'dobj', 'punct']"
GILDEROY LOCKHART,i 'll ask you three to just nip the rest of them back into their cage .,"['i', ""'ll"", 'ask', 'you', 'three', 'to', 'just', 'nip', 'the', 'rest', 'of', 'them', 'back', 'into', 'their', 'cage', '.']","['PRON', 'AUX', 'VERB', 'PRON', 'NUM', 'PART', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'ADV', 'ADP', 'PRON', 'NOUN', 'PUNCT']","['PRP', 'MD', 'VB', 'PRP', 'CD', 'TO', 'RB', 'VB', 'DT', 'NN', 'IN', 'PRP', 'RB', 'IN', 'PRP$', 'NN', '.']","['nsubj', 'aux', 'ROOT', 'dative', 'dobj', 'aux', 'advmod', 'xcomp', 'det', 'dobj', 'prep', 'pobj', 'advmod', 'prep', 'poss', 'pobj', 'punct']"
RON,what do we do now ?,"['what', 'do', 'we', 'do', 'now', '?']","['PRON', 'AUX', 'PRON', 'VERB', 'ADV', 'PUNCT']","['WP', 'VBP', 'PRP', 'VB', 'RB', '.']","['dobj', 'aux', 'nsubj', 'ROOT', 'advmod', 'punct']"
HERMIONE,immobulus !,"['immobulus', '!']","['NOUN', 'PUNCT']","['NN', '.']","['ROOT', 'punct']"
NEVILLE,why is it always me ?,"['why', 'is', 'it', 'always', 'me', '?']","['SCONJ', 'AUX', 'PRON', 'ADV', 'PRON', 'PUNCT']","['WRB', 'VBZ', 'PRP', 'RB', 'PRP', '.']","['advmod', 'ROOT', 'nsubj', 'advmod', 'nsubj', 'punct']"
WOOD,i spent the summer devising a whole new quidditch program .,"['i', 'spent', 'the', 'summer', 'devising', 'a', 'whole', 'new', 'quidditch', 'program', '.']","['PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']","['PRP', 'VBD', 'DT', 'NN', 'VBG', 'DT', 'JJ', 'JJ', 'NN', 'NN', '.']","['nsubj', 'ROOT', 'det', 'dobj', 'xcomp', 'det', 'amod', 'amod', 'compound', 'dobj', 'punct']"
WOOD,"we 're gon na train earlier , harder and longer .","['we', ""'re"", 'gon', 'na', 'train', 'earlier', ',', 'harder', 'and', 'longer', '.']","['PRON', 'AUX', 'VERB', 'PART', 'VERB', 'ADV', 'PUNCT', 'ADV', 'CCONJ', 'ADV', 'PUNCT']","['PRP', 'VBP', 'VBG', 'TO', 'VB', 'RBR', ',', 'RBR', 'CC', 'RBR', '.']","['nsubj', 'aux', 'ROOT', 'aux', 'xcomp', 'advmod', 'punct', 'advmod', 'cc', 'conj', 'punct']"
WOOD,what ... ? i do n't believe it .,"['what', '...', '?', 'i', 'do', ""n't"", 'believe', 'it', '.']","['PRON', 'PUNCT', 'PUNCT', 'PRON', 'AUX', 'PART', 'VERB', 'PRON', 'PUNCT']","['WP', '.', '.', 'PRP', 'VBP', 'RB', 'VB', 'PRP', '.']","['ROOT', 'punct', 'punct', 'nsubj', 'aux', 'neg', 'ROOT', 'dobj', 'punct']"
WOOD,"where you think you 're going , flint ?","['where', 'you', 'think', 'you', ""'re"", 'going', ',', 'flint', '?']","['SCONJ', 'PRON', 'VERB', 'PRON', 'AUX', 'VERB', 'PUNCT', 'VERB', 'PUNCT']","['WRB', 'PRP', 'VBP', 'PRP', 'VBP', 'VBG', ',', 'VB', '.']","['advmod', 'nsubj', 'advcl', 'nsubj', 'aux', 'ccomp', 'punct', 'ROOT', 'punct']"
FLINT,quidditch practice .,"['quidditch', 'practice', '.']","['VERB', 'NOUN', 'PUNCT']","['VB', 'NN', '.']","['ROOT', 'dobj', 'punct']"
WOOD,i booked the pitch for gryffindor today .,"['i', 'booked', 'the', 'pitch', 'for', 'gryffindor', 'today', '.']","['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']","['PRP', 'VBD', 'DT', 'NN', 'IN', 'NN', 'NN', '.']","['nsubj', 'ROOT', 'det', 'dobj', 'prep', 'pobj', 'npadvmod', 'punct']"
FLINT,"easy , wood . i 've got a note .","['easy', ',', 'wood', '.', 'i', ""'"", 've', 'got', 'a', 'note', '.']","['ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT']","['JJ', ',', 'NN', '.', 'PRP', 'VBP', 'VBP', 'VBN', 'DT', 'NN', '.']","['amod', 'punct', 'ROOT', 'punct', 'nsubj', 'aux', 'aux', 'ROOT', 'det', 'dobj', 'punct']"
RON,i smell trouble .,"['i', 'smell', 'trouble', '.']","['PRON', 'VERB', 'NOUN', 'PUNCT']","['PRP', 'VBP', 'NN', '.']","['nsubj', 'ROOT', 'dobj', 'punct']"
WOOD,"i , professor severus snape , do hereby give the slytherin team permission to practice today , owing to the need to train their new seeker .","['i', ',', 'professor', 'severus', 'snape', ',', 'do', 'hereby', 'give', 'the', 'slytherin', 'team', 'permission', 'to', 'practice', 'today', ',', 'owing', 'to', 'the', 'need', 'to', 'train', 'their', 'new', 'seeker', '.']","['PRON', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'AUX', 'ADV', 'VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PART', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'PRON', 'ADJ', 'NOUN', 'PUNCT']","['PRP', ',', 'NN', 'NN', 'NN', ',', 'VBP', 'RB', 'VB', 'DT', 'NN', 'NN', 'NN', 'TO', 'VB', 'NN', ',', 'VBG', 'IN', 'DT', 'NN', 'TO', 'VB', 'PRP$', 'JJ', 'NN', '.']","['nsubj', 'punct', 'compound', 'compound', 'appos', 'punct', 'aux', 'advmod', 'ROOT', 'det', 'compound', 'compound', 'dobj', 'aux', 'acl', 'npadvmod', 'punct', 'advcl', 'prep', 'det', 'pobj', 'aux', 'acl', 'poss', 'amod', 'dobj', 'punct']"
WOOD,you 've got a new seeker . who ?,"['you', ""'"", 've', 'got', 'a', 'new', 'seeker', '.', 'who', '?']","['PRON', 'AUX', 'AUX', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'PUNCT']","['PRP', 'VBP', 'VBP', 'VBN', 'DT', 'JJ', 'NN', '.', 'WP', '.']","['nsubj', 'aux', 'aux', 'ROOT', 'det', 'amod', 'dobj', 'punct', 'ROOT', 'punct']"
HARRY,malfoy ?,"['malfoy', '?']","['VERB', 'PUNCT']","['VBZ', '.']","['ROOT', 'punct']"
DRACO,that 's right .,"['that', ""'s"", 'right', '.']","['PRON', 'AUX', 'ADJ', 'PUNCT']","['DT', 'VBZ', 'JJ', '.']","['nsubj', 'ROOT', 'acomp', 'punct']"
DRACO,and that 's not all that 's new this year .,"['and', 'that', ""'s"", 'not', 'all', 'that', ""'s"", 'new', 'this', 'year', '.']","['CCONJ', 'PRON', 'AUX', 'PART', 'PRON', 'PRON', 'AUX', 'ADJ', 'DET', 'NOUN', 'PUNCT']","['CC', 'DT', 'VBZ', 'RB', 'DT', 'DT', 'VBZ', 'JJ', 'DT', 'NN', '.']","['cc', 'nsubj', 'ROOT', 'neg', 'attr', 'nsubj', 'relcl', 'acomp', 'det', 'npadvmod', 'punct']"
RON,those are nimbus 2001 s .,"['those', 'are', 'nimbus', '2001', 's', '.']","['PRON', 'AUX', 'PROPN', 'NUM', 'NOUN', 'PUNCT']","['DT', 'VBP', 'NNP', 'CD', 'NN', '.']","['nsubj', 'ROOT', 'attr', 'nummod', 'appos', 'punct']"
RON,how did you get those ?,"['how', 'did', 'you', 'get', 'those', '?']","['SCONJ', 'AUX', 'PRON', 'VERB', 'PRON', 'PUNCT']","['WRB', 'VBD', 'PRP', 'VB', 'DT', '.']","['advmod', 'aux', 'nsubj', 'ROOT', 'dobj', 'punct']"
FLINT,a gift from draco 's father .,"['a', 'gift', 'from', 'draco', ""'s"", 'father', '.']","['DET', 'NOUN', 'ADP', 'PROPN', 'PART', 'NOUN', 'PUNCT']","['DT', 'NN', 'IN', 'NNP', 'POS', 'NN', '.']","['det', 'ROOT', 'prep', 'poss', 'case', 'pobj', 'punct']"
DRACO,"you see , weasley , unlike some , my father can afford the best .","['you', 'see', ',', 'weasley', ',', 'unlike', 'some', ',', 'my', 'father', 'can', 'afford', 'the', 'best', '.']","['PRON', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'PRON', 'PUNCT', 'PRON', 'NOUN', 'AUX', 'VERB', 'DET', 'ADJ', 'PUNCT']","['PRP', 'VBP', ',', 'NN', ',', 'IN', 'DT', ',', 'PRP$', 'NN', 'MD', 'VB', 'DT', 'JJS', '.']","['nsubj', 'ROOT', 'punct', 'npadvmod', 'punct', 'prep', 'pobj', 'punct', 'poss', 'nsubj', 'aux', 'ccomp', 'det', 'dobj', 'punct']"
HERMIONE,at least no one on the gryffindor team had to buy their way in .,"['at', 'least', 'no', 'one', 'on', 'the', 'gryffindor', 'team', 'had', 'to', 'buy', 'their', 'way', 'in', '.']","['ADP', 'ADJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'VERB', 'PART', 'VERB', 'PRON', 'NOUN', 'ADV', 'PUNCT']","['IN', 'JJS', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'VBD', 'TO', 'VB', 'PRP$', 'NN', 'RB', '.']","['advmod', 'advmod', 'det', 'nsubj', 'prep', 'det', 'compound', 'pobj', 'ROOT', 'aux', 'xcomp', 'poss', 'dobj', 'advmod', 'punct']"
HERMIONE,they got in on pure talent .,"['they', 'got', 'in', 'on', 'pure', 'talent', '.']","['PRON', 'VERB', 'ADP', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","['PRP', 'VBD', 'RP', 'IN', 'JJ', 'NN', '.']","['nsubj', 'ROOT', 'prt', 'prep', 'amod', 'pobj', 'punct']"
DRACO,"no one asked your opinion , you filthy little mudblood .","['no', 'one', 'asked', 'your', 'opinion', ',', 'you', 'filthy', 'little', 'mudblood', '.']","['DET', 'NOUN', 'VERB', 'PRON', 'NOUN', 'PUNCT', 'PRON', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']","['DT', 'NN', 'VBD', 'PRP$', 'NN', ',', 'PRP', 'JJ', 'JJ', 'NN', '.']","['det', 'nsubj', 'ROOT', 'poss', 'dobj', 'punct', 'nmod', 'amod', 'amod', 'dobj', 'punct']"
RON,"you 'll pay for that one , malfoy .","['you', ""'ll"", 'pay', 'for', 'that', 'one', ',', 'malfoy', '.']","['PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NUM', 'PUNCT', 'NOUN', 'PUNCT']","['PRP', 'MD', 'VB', 'IN', 'DT', 'CD', ',', 'NN', '.']","['nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'punct', 'dobj', 'punct']"
RON,eat slugs !,"['eat', 'slugs', '!']","['VERB', 'NOUN', 'PUNCT']","['VB', 'NNS', '.']","['ROOT', 'dobj', 'punct']"
HERMIONE,"you okay , ron ?","['you', 'okay', ',', 'ron', '?']","['PRON', 'INTJ', 'PUNCT', 'PROPN', 'PUNCT']","['PRP', 'UH', ',', 'NNP', '.']","['nsubj', 'intj', 'punct', 'ROOT', 'punct']"
HERMIONE,say something .,"['say', 'something', '.']","['VERB', 'PRON', 'PUNCT']","['VB', 'NN', '.']","['ROOT', 'dobj', 'punct']"
COLIN,"wow ! can you turn him around , harry ?","['wow', '!', 'can', 'you', 'turn', 'him', 'around', ',', 'harry', '?']","['INTJ', 'PUNCT', 'AUX', 'PRON', 'VERB', 'PRON', 'ADV', 'PUNCT', 'PROPN', 'PUNCT']","['UH', '.', 'MD', 'PRP', 'VB', 'PRP', 'RB', ',', 'NNP', '.']","['ROOT', 'punct', 'aux', 'nsubj', 'ROOT', 'dobj', 'prt', 'punct', 'dep', 'punct']"
HARRY,"no , colin , get out of the way .","['no', ',', 'colin', ',', 'get', 'out', 'of', 'the', 'way', '.']","['INTJ', 'PUNCT', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'PUNCT']","['UH', ',', 'NNP', ',', 'VB', 'IN', 'IN', 'DT', 'NN', '.']","['intj', 'punct', 'npadvmod', 'punct', 'ROOT', 'prep', 'prep', 'det', 'pobj', 'punct']"
HARRY,let 's take him to hagrid 's .,"['let', ""'s"", 'take', 'him', 'to', 'hagrid', ""'s"", '.']","['VERB', 'PRON', 'VERB', 'PRON', 'PART', 'VERB', 'PRON', 'PUNCT']","['VB', 'PRP', 'VB', 'PRP', 'TO', 'VB', 'PRP', '.']","['ROOT', 'nsubj', 'ccomp', 'dobj', 'aux', 'xcomp', 'dobj', 'punct']"
HARRY,he 'll know what to do .,"['he', ""'ll"", 'know', 'what', 'to', 'do', '.']","['PRON', 'AUX', 'VERB', 'PRON', 'PART', 'VERB', 'PUNCT']","['PRP', 'MD', 'VB', 'WP', 'TO', 'VB', '.']","['nsubj', 'aux', 'ROOT', 'dobj', 'aux', 'xcomp', 'punct']"
HAGRID,this calls for a specialist 's equipment .,"['this', 'calls', 'for', 'a', 'specialist', ""'s"", 'equipment', '.']","['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'PUNCT']","['DT', 'VBZ', 'IN', 'DT', 'NN', 'POS', 'NN', '.']","['nsubj', 'ROOT', 'prep', 'det', 'poss', 'case', 'pobj', 'punct']"
HAGRID,"nothing to do but wait till it stops , i 'm afraid .","['nothing', 'to', 'do', 'but', 'wait', 'till', 'it', 'stops', ',', 'i', ""'"", 'm', 'afraid', '.']","['PRON', 'PART', 'VERB', 'CCONJ', 'VERB', 'SCONJ', 'PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'VERB', 'ADJ', 'PUNCT']","['NN', 'TO', 'VB', 'CC', 'VB', 'IN', 'PRP', 'VBZ', ',', 'PRP', 'VBP', 'VBP', 'JJ', '.']","['ROOT', 'aux', 'relcl', 'cc', 'conj', 'mark', 'nsubj', 'advcl', 'punct', 'dep', 'appos', 'appos', 'acomp', 'punct']"
HAGRID,okay .,"['okay', '.']","['INTJ', 'PUNCT']","['UH', '.']","['ROOT', 'punct']"
HAGRID,better out than in .,"['better', 'out', 'than', 'in', '.']","['ADV', 'ADV', 'ADP', 'ADP', 'PUNCT']","['RBR', 'RB', 'IN', 'IN', '.']","['advmod', 'ROOT', 'prep', 'pcomp', 'punct']"
HAGRID,"who was ron trying to curse , anyway ?","['who', 'was', 'ron', 'trying', 'to', 'curse', ',', 'anyway', '?']","['PRON', 'AUX', 'PROPN', 'VERB', 'PART', 'VERB', 'PUNCT', 'ADV', 'PUNCT']","['WP', 'VBD', 'NNP', 'VBG', 'TO', 'VB', ',', 'RB', '.']","['nsubj', 'aux', 'nsubj', 'ROOT', 'aux', 'xcomp', 'punct', 'advmod', 'punct']"
HARRY,malfoy . he called hermione ...,"['malfoy', '.', 'he', 'called', 'hermione', '...']","['INTJ', 'PUNCT', 'PRON', 'VERB', 'NOUN', 'PUNCT']","['UH', '.', 'PRP', 'VBD', 'NN', '.']","['ROOT', 'punct', 'nsubj', 'ROOT', 'dobj', 'punct']"
HARRY,"well , i do n't know exactly what it means .","['well', ',', 'i', 'do', ""n't"", 'know', 'exactly', 'what', 'it', 'means', '.']","['INTJ', 'PUNCT', 'PRON', 'AUX', 'PART', 'VERB', 'ADV', 'PRON', 'PRON', 'VERB', 'PUNCT']","['UH', ',', 'PRP', 'VBP', 'RB', 'VB', 'RB', 'WP', 'PRP', 'VBZ', '.']","['intj', 'punct', 'nsubj', 'aux', 'neg', 'ROOT', 'advmod', 'dobj', 'nsubj', 'ccomp', 'punct']"
HERMIONE,he called me a mudblood .,"['he', 'called', 'me', 'a', 'mudblood', '.']","['PRON', 'VERB', 'PRON', 'DET', 'NOUN', 'PUNCT']","['PRP', 'VBD', 'PRP', 'DT', 'NN', '.']","['nsubj', 'ROOT', 'dobj', 'det', 'oprd', 'punct']"
HAGRID,he did not .,"['he', 'did', 'not', '.']","['PRON', 'VERB', 'PART', 'PUNCT']","['PRP', 'VBD', 'RB', '.']","['nsubj', 'ROOT', 'neg', 'punct']"
HARRY,what 's a mudblood ?,"['what', ""'s"", 'a', 'mudblood', '?']","['PRON', 'AUX', 'DET', 'NOUN', 'PUNCT']","['WP', 'VBZ', 'DT', 'NN', '.']","['attr', 'ROOT', 'det', 'nsubj', 'punct']"
HERMIONE,it means `` dirty blood .,"['it', 'means', '`', '`', 'dirty', 'blood', '.']","['PRON', 'VERB', 'PUNCT', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT']","['PRP', 'VBZ', '``', '``', 'JJ', 'NN', '.']","['nsubj', 'ROOT', 'punct', 'punct', 'amod', 'dobj', 'punct']"
HERMIONE,mudblood 's a foul name for someone who 's muggle-born .,"['mudblood', ""'s"", 'a', 'foul', 'name', 'for', 'someone', 'who', ""'s"", 'muggle', '-', 'born', '.']","['PROPN', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'PRON', 'PRON', 'AUX', 'NOUN', 'PUNCT', 'VERB', 'PUNCT']","['NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'WP', 'VBZ', 'NN', 'HYPH', 'VBN', '.']","['nsubj', 'ROOT', 'det', 'amod', 'attr', 'prep', 'pobj', 'nsubj', 'relcl', 'npadvmod', 'punct', 'acomp', 'punct']"
