Character,Sentence,Word,POS,Tag,Dependency
HARRY,"not to be to be rude or anything , but this isn ’ t a great time for me to have a house elf in my bedroom .","['not', 'to', 'be', 'to', 'be', 'rude', 'or', 'anything', ',', 'but', 'this', 'isn', '’', 't', 'a', 'great', 'time', 'for', 'me', 'to', 'have', 'a', 'house', 'elf', 'in', 'my', 'bedroom', '.']","['PART', 'PART', 'AUX', 'PART', 'AUX', 'ADJ', 'CCONJ', 'PRON', 'PUNCT', 'CCONJ', 'PRON', 'ADJ', 'PUNCT', 'NOUN', 'DET', 'ADJ', 'NOUN', 'SCONJ', 'PRON', 'PART', 'VERB', 'DET', 'NOUN', 'PRON', 'ADP', 'PRON', 'NOUN', 'PUNCT']","['RB', 'TO', 'VB', 'TO', 'VB', 'JJ', 'CC', 'NN', ',', 'CC', 'DT', 'JJ', ""''"", 'NN', 'DT', 'JJ', 'NN', 'IN', 'PRP', 'TO', 'VB', 'DT', 'NN', 'PRP', 'IN', 'PRP$', 'NN', '.']","['neg', 'aux', 'ROOT', 'aux', 'xcomp', 'acomp', 'cc', 'conj', 'punct', 'cc', 'nsubj', 'conj', 'punct', 'dobj', 'det', 'amod', 'npadvmod', 'mark', 'nsubj', 'aux', 'relcl', 'det', 'dobj', 'appos', 'prep', 'poss', 'pobj', 'punct']"
DOBBY,"oh , oh yes , sir ! dobby understands !","['oh', ',', 'oh', 'yes', ',', 'sir', '!', 'dobby', 'understands', '!']","['INTJ', 'PUNCT', 'INTJ', 'INTJ', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']","['UH', ',', 'UH', 'UH', ',', 'NN', '.', 'NN', 'VBZ', '.']","['ROOT', 'punct', 'intj', 'intj', 'punct', 'npadvmod', 'punct', 'nsubj', 'ROOT', 'punct']"
DOBBY,"it ’ s just that , dobby has come to tell you- it is difficult , sir","['it', '’', 's', 'just', 'that', ',', 'dobby', 'has', 'come', 'to', 'tell', 'you-', 'it', 'is', 'difficult', ',', 'sir']","['PRON', 'PUNCT', 'VERB', 'ADV', 'PRON', 'PUNCT', 'NOUN', 'AUX', 'VERB', 'PART', 'VERB', 'X', 'PRON', 'AUX', 'ADJ', 'PUNCT', 'PUNCT']","['PRP', ""''"", 'VBZ', 'RB', 'DT', ',', 'NN', 'VBZ', 'VBN', 'TO', 'VB', 'XX', 'PRP', 'VBZ', 'JJ', ',', '.']","['nsubj', 'punct', 'ROOT', 'advmod', 'dobj', 'punct', 'nsubj', 'aux', 'ccomp', 'aux', 'advcl', 'dobj', 'nsubj', 'ROOT', 'acomp', 'punct', 'punct']"
DOBBY,dobby wonders where to begin ?,"['dobby', 'wonders', 'where', 'to', 'begin', '?']","['NOUN', 'NOUN', 'SCONJ', 'PART', 'VERB', 'PUNCT']","['NN', 'NNS', 'WRB', 'TO', 'VB', '.']","['compound', 'ROOT', 'advmod', 'aux', 'relcl', 'punct']"
HARRY,why don ’ t you sit down ?,"['why', 'don', '’', 't', 'you', 'sit', 'down', '?']","['SCONJ', 'PROPN', 'PUNCT', 'NOUN', 'PRON', 'VERB', 'ADP', 'PUNCT']","['WRB', 'NNP', ""''"", 'NN', 'PRP', 'VBP', 'RP', '.']","['advmod', 'nsubj', 'punct', 'dep', 'nsubj', 'ROOT', 'prt', 'punct']"
DOBBY,s-sit down ? s-sit- sit down ?,"['s', '-', 'sit', 'down', '?', 's', '-', 'sit-', 'sit', 'down', '?']","['AUX', 'VERB', 'VERB', 'ADP', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'VERB', 'ADP', 'PUNCT']","['LS', 'VBP', 'VB', 'RP', '.', 'LS', ':', 'NN', 'VB', 'RP', '.']","['aux', 'punct', 'ROOT', 'prt', 'punct', 'meta', 'punct', 'nsubj', 'ROOT', 'prt', 'punct']"
DOBBY,"oh , oh , ho . oh , ho , ho ... oh , ho , ho .","['oh', ',', 'oh', ',', 'ho', '.', 'oh', ',', 'ho', ',', 'ho', '...', 'oh', ',', 'ho', ',', 'ho', '.']","['INTJ', 'PUNCT', 'INTJ', 'PUNCT', 'PROPN', 'PUNCT', 'INTJ', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'INTJ', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']","['UH', ',', 'UH', ',', 'NNP', '.', 'UH', ',', 'NNP', ',', 'NNP', '.', 'UH', ',', 'NNP', ',', 'NNP', '.']","['ROOT', 'punct', 'intj', 'punct', 'npadvmod', 'punct', 'ROOT', 'punct', 'npadvmod', 'punct', 'appos', 'punct', 'ROOT', 'punct', 'npadvmod', 'punct', 'appos', 'punct']"
HARRY,"dobby , ssh ! i ’ m sorry !","['dobby', ',', 'ssh', '!', 'i', '’', 'm', 'sorry', '!']","['PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PRON', 'PUNCT', 'VERB', 'ADJ', 'PUNCT']","['NNP', ',', 'NNP', '.', 'PRP', ""''"", 'VBP', 'JJ', '.']","['ROOT', 'punct', 'npadvmod', 'punct', 'nsubj', 'punct', 'ROOT', 'acomp', 'punct']"
HARRY,"i didn ’ t mean to offend you , or anything .","['i', 'didn', '’', 't', 'mean', 'to', 'offend', 'you', ',', 'or', 'anything', '.']","['PRON', 'PROPN', 'PUNCT', 'AUX', 'VERB', 'PART', 'VERB', 'PRON', 'PUNCT', 'CCONJ', 'PRON', 'PUNCT']","['PRP', 'NNP', ""''"", 'NN', 'VBP', 'TO', 'VB', 'PRP', ',', 'CC', 'NN', '.']","['nsubj', 'appos', 'punct', 'aux', 'ROOT', 'aux', 'xcomp', 'dobj', 'punct', 'cc', 'conj', 'punct']"
DOBBY,offend dobby ?,"['offend', 'dobby', '?']","['VERB', 'NOUN', 'PUNCT']","['VB', 'NN', '.']","['ROOT', 'dobj', 'punct']"
